server,dataset_id,n_stations,years,n_onset,n_test,tp,fp,fn,base_rate,precision,pod,lift,lift_lo,lift_hi,auc,auc_lo,auc_hi,precision_lo,precision_hi,t_star
PacIOOS,nss_013,1,2.2,,,,,,,,,,,,,,,,,
PacIOOS,nss_015,2,12.2,1236.0,1236.0,27.0,26.0,304.0,0.26779935275080907,0.5094339622641509,0.08157099697885196,1.9022972125634154,0.0,2.718409913917974,0.6162457645507502,0.46911088601645,0.7393301198771199,0.0,0.6923076923076923,0.9000000000000001
PacIOOS,nss_016,1,2.1,385.0,385.0,20.0,13.0,62.0,0.21298701298701297,0.6060606060606061,0.24390243902439024,2.845528455284553,1.090909090909091,7.5675675675675675,0.8436770506318925,0.7584233947870311,1.0,0.5357142857142857,1.0,0.8500000000000001
PacIOOS,nss_cwb_001,1,0.9,,,,,,,,,,,,,,,,,
PacIOOS,nss_cwb_004,2,1.0,,,,,,,,,,,,,,,,,
PacIOOS,nss_wqspp_002,1,1.6,,,,,,,,,,,,,,,,,
PacIOOS,nss_wqspp_003,1,1.0,,,,,,,,,,,,,,,,,
PacIOOS,nss_wqspp_004,1,1.7,,,,,,,,,,,,,,,,,
PacIOOS,nss_wqspp_005,1,1.4,,,,,,,,,,,,,,,,,
IOOS-Sensors,oa2-mbari-buoy,1,10.7,1881.0,1881.0,48.0,110.0,101.0,0.07921318447634237,0.3037974683544304,0.3221476510067114,3.8351881743267353,1.5369882970622828,17.298960636886335,0.8360684005765922,0.7051897659099358,0.9700700712376659,0.1368421052631579,0.37254901960784315,0.8500000000000001
ONC,scalar_117688,1,0.5,132.0,132.0,65.0,33.0,5.0,0.5303030303030303,0.6632653061224489,0.9285714285714286,1.250728862973761,1.250728862973761,1.250728862973761,0.8191244239631337,0.8191244239631337,0.8191244239631337,0.6632653061224489,0.6632653061224489,0.05
ONC,scalar_1189342,1,0.4,117.0,117.0,52.0,36.0,14.0,0.5641025641025641,0.5909090909090909,0.7878787878787878,1.047520661157025,1.047520661157025,1.047520661157025,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.5909090909090909,0.5909090909090909,0.05
ONC,scalar_1200766,1,0.6,176.0,176.0,15.0,0.0,7.0,0.125,1.0,0.6818181818181818,8.0,8.0,8.0,0.9852420306965761,0.9852420306965761,0.9852420306965761,1.0,1.0,0.8
ONC,scalar_1211291,1,0.5,125.0,125.0,13.0,2.0,10.0,0.184,0.8666666666666667,0.5652173913043478,4.710144927536232,4.710144927536232,4.710144927536232,0.9292412617220801,0.9292412617220801,0.9292412617220801,0.8666666666666667,0.8666666666666667,0.55
ONC,scalar_1211296,1,0.5,126.0,126.0,26.0,20.0,15.0,0.3253968253968254,0.5652173913043478,0.6341463414634146,1.7370095440084834,1.7370095440084834,1.7370095440084834,0.7928263988522238,0.7928263988522238,0.7928263988522238,0.5652173913043478,0.5652173913043478,0.45
ONC,scalar_1211301,1,0.5,125.0,125.0,32.0,20.0,11.0,0.344,0.6153846153846154,0.7441860465116279,1.7889087656529519,1.7889087656529519,1.7889087656529519,0.8192002268859898,0.8192002268859898,0.8192002268859898,0.6153846153846154,0.6153846153846154,0.4
IOOS-Sensors,scripps-pier-automated-shore-sta-1,1,12.6,3264.0,3264.0,150.0,88.0,348.0,0.15257352941176472,0.6302521008403361,0.30120481927710846,4.130808950086058,3.295262541632405,5.45008356991158,0.8374601079662105,0.8065709070556724,0.8703587653723819,0.4711463004484305,0.7798565523007369,0.8500000000000001
IOOS-Sensors,tiburon-water-tibc1,1,17.7,3491.0,3491.0,377.0,583.0,188.0,0.16184474362646806,0.3927083333333333,0.6672566371681415,2.426450958702065,1.9739113826463939,3.2136064417515864,0.8286603475704546,0.7771532241734498,0.8768766084453112,0.318003141313337,0.48069242866035444,0.7000000000000001
IOOS-Sensors,tomales-bay-buoy,1,1.7,470.0,470.0,144.0,71.0,81.0,0.4787234042553192,0.6697674418604651,0.64,1.3990697674418604,1.0398114636815083,1.7573194534808068,0.7290702947845806,0.5947776993648553,0.792911877394636,0.6513761467889908,0.6886792452830188,0.2
IOOS-Sensors,wiyot_tribe_indianisland,1,2.2,314.0,314.0,44.0,24.0,26.0,0.2229299363057325,0.6470588235294118,0.6285714285714286,2.9025210084033612,1.69921875,12.999999999999998,0.8353337236533956,0.7977385253579552,1.0,0.14285714285714285,0.9375,0.5
PacIOOS,wqb_04,1,14.6,2368.0,2368.0,318.0,582.0,112.0,0.18158783783783783,0.35333333333333333,0.7395348837209302,1.9457984496124032,1.6449978521560247,2.3392274732028953,0.7855737154102768,0.6853405150180916,0.8439421167353893,0.1993663125337433,0.4836524303510507,0.55
PacIOOS,wqb_05,1,6.2,1297.0,1297.0,152.0,730.0,24.0,0.13569776407093292,0.17233560090702948,0.8636363636363636,1.2699958771387343,1.0730415811491631,1.4963741345811785,0.7080072581299165,0.5717355793180949,0.8221541858221568,0.08057128621427181,0.34275032938076366,0.55
